Client Name,Monthly Retainer (USD),Monthly Hours,Hourly Cost (Internal),Contract Start,Last Rate Increase,Industry
Metro Auto Repair,2000,18,105,2019-11-01,2021-11-15,Automotive
GreenLeaf Landscaping,3000,20,105,2020-03-15,2022-06-01,Landscaping
Oakwood Legal Partners,5000,25,130,2018-06-01,2022-01-15,Legal
TechStart Solutions,2500,20,90,2024-02-01,2024-02-01,Technology
Craft & Co. Brewery,1800,12,102,2024-08-15,2024-08-15,Hospitality
Summit Consulting,4500,25,108,2021-01-10,2024-03-01,Consulting
Bright Smile Dental,3200,20,104,2019-08-20,2023-09-15,Healthcare
Harbor Property Management,2800,22,92,2022-04-01,2024-06-01,Real Estate
Riverside Fitness,2200,15,91,2021-09-15,2024-01-15,Fitness
Creative Edge Marketing,4000,28,97,2020-11-01,2023-05-01,Marketing
